购物水果[SEP]黑龙江省绥化市[SEP]最近有点上火，想吃点水果	橙子功效
泛娱乐音乐流行音乐[SEP]新疆维吾尔自治区昌吉回族自治州[SEP]最近听了好多流行音乐，都好好听呀	不检索
泛娱乐音乐流行音乐[SEP]新疆维吾尔自治区昌吉回族自治州[SEP]最近听了好多流行音乐，都好好听呀[SEP]不检索[SEP]很多人的，但主要是听陈奕迅的歌hhh	陈奕迅的歌
泛娱乐音乐流行音乐[SEP]新疆维吾尔自治区昌吉回族自治州[SEP]最近听了好多流行音乐，都好好听呀[SEP]不检索[SEP]很多人的，但主要是听陈奕迅的歌hhh[SEP]陈奕迅的歌[SEP]他的声音真的太有特点了，真是情歌之王！	陈奕迅关于人生的歌
泛娱乐音乐流行音乐[SEP]新疆维吾尔自治区昌吉回族自治州[SEP]最近听了好多流行音乐，都好好听呀[SEP]不检索[SEP]很多人的，但主要是听陈奕迅的歌hhh[SEP]陈奕迅的歌[SEP]他的声音真的太有特点了，真是情歌之王！[SEP]陈奕迅关于人生的歌[SEP]他每一首歌的歌词我都好喜欢~这个作词人太厉害了简直	陈奕迅和林夕
泛娱乐音乐流行音乐[SEP]新疆维吾尔自治区昌吉回族自治州[SEP]最近听了好多流行音乐，都好好听呀[SEP]不检索[SEP]很多人的，但主要是听陈奕迅的歌hhh[SEP]陈奕迅的歌[SEP]他的声音真的太有特点了，真是情歌之王！[SEP]陈奕迅关于人生的歌[SEP]他每一首歌的歌词我都好喜欢~这个作词人太厉害了简直[SEP]陈奕迅和林夕[SEP]以后一定要去看他的演唱会！	不检索
泛娱乐音乐流行音乐[SEP]新疆维吾尔自治区昌吉回族自治州[SEP]最近听了好多流行音乐，都好好听呀[SEP]不检索[SEP]很多人的，但主要是听陈奕迅的歌hhh[SEP]陈奕迅的歌[SEP]他的声音真的太有特点了，真是情歌之王！[SEP]陈奕迅关于人生的歌[SEP]他每一首歌的歌词我都好喜欢~这个作词人太厉害了简直[SEP]陈奕迅和林夕[SEP]以后一定要去看他的演唱会！[SEP]不检索[SEP]希望他可以早日来内地开演唱会呀~	不检索
本地生活城市地域城市历史[SEP]广西壮族自治区来宾市[SEP]来宾这个市名听起来好独特啊，不知道有没有典故	来宾市名由来
本地生活城市地域城市历史[SEP]广西壮族自治区来宾市[SEP]来宾这个市名听起来好独特啊，不知道有没有典故[SEP]来宾市名由来[SEP]这样啊，我还以为是刻意取的名字	来宾市历史
本地生活城市地域城市历史[SEP]广西壮族自治区来宾市[SEP]来宾这个市名听起来好独特啊，不知道有没有典故[SEP]来宾市名由来[SEP]这样啊，我还以为是刻意取的名字[SEP]来宾市历史[SEP]那历史怕是要两千年以上了！没想到啊。不过也确实，水资源丰饶，气候也很适宜，先人选择来此是很自然的	不检索
本地生活城市地域城市历史[SEP]广西壮族自治区来宾市[SEP]来宾这个市名听起来好独特啊，不知道有没有典故[SEP]来宾市名由来[SEP]这样啊，我还以为是刻意取的名字[SEP]来宾市历史[SEP]那历史怕是要两千年以上了！没想到啊。不过也确实，水资源丰饶，气候也很适宜，先人选择来此是很自然的[SEP]不检索[SEP]我觉得是因为广西本身就不那么受重视，或者比较低调	不检索
本地生活城市地域城市历史[SEP]广西壮族自治区来宾市[SEP]来宾这个市名听起来好独特啊，不知道有没有典故[SEP]来宾市名由来[SEP]这样啊，我还以为是刻意取的名字[SEP]来宾市历史[SEP]那历史怕是要两千年以上了！没想到啊。不过也确实，水资源丰饶，气候也很适宜，先人选择来此是很自然的[SEP]不检索[SEP]我觉得是因为广西本身就不那么受重视，或者比较低调[SEP]不检索[SEP]可能也因为没有什么高新产业区或者说规划的这些产业。大家都倾向于往成熟的大都市跑	不检索
生活宠物猫[SEP]陕西省延安市[SEP]你喜欢猫吗？	不检索
生活宠物猫[SEP]陕西省延安市[SEP]你喜欢猫吗？[SEP]不检索[SEP]我也喜欢猫呢，尤其喜欢英短。	英短
生活宠物猫[SEP]陕西省延安市[SEP]你喜欢猫吗？[SEP]不检索[SEP]我也喜欢猫呢，尤其喜欢英短。[SEP]英短[SEP]养了呢，还养了一只加菲猫，它们俩一个好动一个好静，真的很不一样。	不检索
生活宠物猫[SEP]陕西省延安市[SEP]你喜欢猫吗？[SEP]不检索[SEP]我也喜欢猫呢，尤其喜欢英短。[SEP]英短[SEP]养了呢，还养了一只加菲猫，它们俩一个好动一个好静，真的很不一样。[SEP]不检索[SEP]是啊，加菲猫既好吃又不好动，想不肥都难，哈哈。	养猫的方法
生活宠物猫[SEP]陕西省延安市[SEP]你喜欢猫吗？[SEP]不检索[SEP]我也喜欢猫呢，尤其喜欢英短。[SEP]英短[SEP]养了呢，还养了一只加菲猫，它们俩一个好动一个好静，真的很不一样。[SEP]不检索[SEP]是啊，加菲猫既好吃又不好动，想不肥都难，哈哈。[SEP]养猫的方法[SEP]是啊，平时要给它铲屎、喂猫粮、洗澡，还要定期给它打疫苗、驱虫，有异常症状还要带它去宠物医院看病，可麻烦了。	不检索
泛娱乐演员黄渤[SEP]云南省保山市[SEP]你看没看过极限挑战呀	不检索
泛娱乐演员黄渤[SEP]云南省保山市[SEP]你看没看过极限挑战呀[SEP]不检索[SEP]嗯嗯，我觉得黄渤好搞笑啊	不检索
泛娱乐演员黄渤[SEP]云南省保山市[SEP]你看没看过极限挑战呀[SEP]不检索[SEP]嗯嗯，我觉得黄渤好搞笑啊[SEP]不检索[SEP]感觉他连说话都很好笑	黄渤
泛娱乐演员黄渤[SEP]云南省保山市[SEP]你看没看过极限挑战呀[SEP]不检索[SEP]嗯嗯，我觉得黄渤好搞笑啊[SEP]不检索[SEP]感觉他连说话都很好笑[SEP]黄渤[SEP]他啥时候出道的啊，感觉也是老戏骨	黄渤电影
泛娱乐演员黄渤[SEP]云南省保山市[SEP]你看没看过极限挑战呀[SEP]不检索[SEP]嗯嗯，我觉得黄渤好搞笑啊[SEP]不检索[SEP]感觉他连说话都很好笑[SEP]黄渤[SEP]他啥时候出道的啊，感觉也是老戏骨[SEP]黄渤电影[SEP]那好早啊	不检索
科技航天发展史[SEP]澳门特别行政区圣方济各堂区[SEP]我们国家太牛了吧，看到新闻说2021年我国航天发射次数居世界第一！	2021我国航天发射次数
科技航天发展史[SEP]澳门特别行政区圣方济各堂区[SEP]我们国家太牛了吧，看到新闻说2021年我国航天发射次数居世界第一！[SEP]2021我国航天发射次数[SEP]对的，是啊这次明确表示有55次~而且我国还完成了空间站建设~让人激动人心啊！	空间站建设的意义
科技航天发展史[SEP]澳门特别行政区圣方济各堂区[SEP]我们国家太牛了吧，看到新闻说2021年我国航天发射次数居世界第一！[SEP]2021我国航天发射次数[SEP]对的，是啊这次明确表示有55次~而且我国还完成了空间站建设~让人激动人心啊！[SEP]空间站建设的意义[SEP]是啊，想当初我们国家航天方面还是比较落后的。	航天发展史
科技航天发展史[SEP]澳门特别行政区圣方济各堂区[SEP]我们国家太牛了吧，看到新闻说2021年我国航天发射次数居世界第一！[SEP]2021我国航天发射次数[SEP]对的，是啊这次明确表示有55次~而且我国还完成了空间站建设~让人激动人心啊！[SEP]空间站建设的意义[SEP]是啊，想当初我们国家航天方面还是比较落后的。[SEP]航天发展史[SEP]你懂的好多哈哈哈~	中国航天史的里程碑
科技航天发展史[SEP]澳门特别行政区圣方济各堂区[SEP]我们国家太牛了吧，看到新闻说2021年我国航天发射次数居世界第一！[SEP]2021我国航天发射次数[SEP]对的，是啊这次明确表示有55次~而且我国还完成了空间站建设~让人激动人心啊！[SEP]空间站建设的意义[SEP]是啊，想当初我们国家航天方面还是比较落后的。[SEP]航天发展史[SEP]你懂的好多哈哈哈~[SEP]中国航天史的里程碑[SEP]说到“神舟五号”，当时可是第一次载人，是紧张也是激动，2003年10月15日永远值得记得的日子，杨利伟永远的英雄。	神舟五号载人
科技航天发展史[SEP]澳门特别行政区圣方济各堂区[SEP]我们国家太牛了吧，看到新闻说2021年我国航天发射次数居世界第一！[SEP]2021我国航天发射次数[SEP]对的，是啊这次明确表示有55次~而且我国还完成了空间站建设~让人激动人心啊！[SEP]空间站建设的意义[SEP]是啊，想当初我们国家航天方面还是比较落后的。[SEP]航天发展史[SEP]你懂的好多哈哈哈~[SEP]中国航天史的里程碑[SEP]说到“神舟五号”，当时可是第一次载人，是紧张也是激动，2003年10月15日永远值得记得的日子，杨利伟永远的英雄。[SEP]神舟五号载人[SEP]对，我小时候的梦想还想去建造飞船呢哈哈哈哈。	不检索
生活星座[SEP]福建省宁德市[SEP]我闺女太搞笑了，她说她和她喜欢的男生星座不合，正在纠结要不要在一起。	不检索
生活星座[SEP]福建省宁德市[SEP]我闺女太搞笑了，她说她和她喜欢的男生星座不合，正在纠结要不要在一起。[SEP]不检索[SEP]不会吧，你不会也信这个吧，重点难道不是这个理由很搞笑吗？	不检索
生活星座[SEP]福建省宁德市[SEP]我闺女太搞笑了，她说她和她喜欢的男生星座不合，正在纠结要不要在一起。[SEP]不检索[SEP]不会吧，你不会也信这个吧，重点难道不是这个理由很搞笑吗？[SEP]不检索[SEP]女生双鱼，男生狮子。	双鱼女和狮子男
生活星座[SEP]福建省宁德市[SEP]我闺女太搞笑了，她说她和她喜欢的男生星座不合，正在纠结要不要在一起。[SEP]不检索[SEP]不会吧，你不会也信这个吧，重点难道不是这个理由很搞笑吗？[SEP]不检索[SEP]女生双鱼，男生狮子。[SEP]双鱼女和狮子男[SEP]不是吧，重点是他们都还没在一起呢，现在焦虑这些好可笑啊。	星座科学
生活星座[SEP]福建省宁德市[SEP]我闺女太搞笑了，她说她和她喜欢的男生星座不合，正在纠结要不要在一起。[SEP]不检索[SEP]不会吧，你不会也信这个吧，重点难道不是这个理由很搞笑吗？[SEP]不检索[SEP]女生双鱼，男生狮子。[SEP]双鱼女和狮子男[SEP]不是吧，重点是他们都还没在一起呢，现在焦虑这些好可笑啊。[SEP]星座科学[SEP]今天和你的对话让我更无语了。	不检索
生活星座[SEP]江苏省盐城市[SEP]怎么看自己的星座啊	如何看星座
生活星座[SEP]江苏省盐城市[SEP]怎么看自己的星座啊[SEP]如何看星座[SEP]原来这样，我知道我农历生日是10月6日	农历10月6日是阳历多少号
生活星座[SEP]江苏省盐城市[SEP]怎么看自己的星座啊[SEP]如何看星座[SEP]原来这样，我知道我农历生日是10月6日[SEP]农历10月6日是阳历多少号[SEP]10月底的话，是什么星座呀	10月30日是什么星座
生活星座[SEP]江苏省盐城市[SEP]怎么看自己的星座啊[SEP]如何看星座[SEP]原来这样，我知道我农历生日是10月6日[SEP]农历10月6日是阳历多少号[SEP]10月底的话，是什么星座呀[SEP]10月30日是什么星座[SEP]天蝎座好像和水瓶座更般配	天蝎座配对
生活星座[SEP]江苏省盐城市[SEP]怎么看自己的星座啊[SEP]如何看星座[SEP]原来这样，我知道我农历生日是10月6日[SEP]农历10月6日是阳历多少号[SEP]10月底的话，是什么星座呀[SEP]10月30日是什么星座[SEP]天蝎座好像和水瓶座更般配[SEP]天蝎座配对[SEP]竟然是巨蟹座，身边朋友没有巨蟹座，啊急死了	不检索
文化小说欧亨利[SEP]贵州省六盘水市[SEP]对外国文学你有什么了解吗？	外国文学
文化小说欧亨利[SEP]贵州省六盘水市[SEP]对外国文学你有什么了解吗？[SEP]外国文学[SEP]那你还看其他作者的吗？	列夫托尔斯泰
文化小说欧亨利[SEP]贵州省六盘水市[SEP]对外国文学你有什么了解吗？[SEP]外国文学[SEP]那你还看其他作者的吗？[SEP]列夫托尔斯泰[SEP]他是俄罗斯作家吧，那美国作家你比较喜欢谁啊？	欧亨利
文化小说欧亨利[SEP]贵州省六盘水市[SEP]对外国文学你有什么了解吗？[SEP]外国文学[SEP]那你还看其他作者的吗？[SEP]列夫托尔斯泰[SEP]他是俄罗斯作家吧，那美国作家你比较喜欢谁啊？[SEP]欧亨利[SEP]对他我还真是不了解呢。	欧亨利
文化小说欧亨利[SEP]贵州省六盘水市[SEP]对外国文学你有什么了解吗？[SEP]外国文学[SEP]那你还看其他作者的吗？[SEP]列夫托尔斯泰[SEP]他是俄罗斯作家吧，那美国作家你比较喜欢谁啊？[SEP]欧亨利[SEP]对他我还真是不了解呢。[SEP]欧亨利[SEP]那他的代表作是什么呢？	欧亨利
文化小说欧亨利[SEP]贵州省六盘水市[SEP]对外国文学你有什么了解吗？[SEP]外国文学[SEP]那你还看其他作者的吗？[SEP]列夫托尔斯泰[SEP]他是俄罗斯作家吧，那美国作家你比较喜欢谁啊？[SEP]欧亨利[SEP]对他我还真是不了解呢。[SEP]欧亨利[SEP]那他的代表作是什么呢？[SEP]欧亨利[SEP]他的写作风格是什么呢？	欧亨利
生活宠物[SEP]山东省潍坊市[SEP]你养过宠物吗？	不检索
生活宠物[SEP]山东省潍坊市[SEP]你养过宠物吗？[SEP]不检索[SEP]哇塞，那你可是专家，我有事情想请教你	不检索
生活宠物[SEP]山东省潍坊市[SEP]你养过宠物吗？[SEP]不检索[SEP]哇塞，那你可是专家，我有事情想请教你[SEP]不检索[SEP]我养的哈士奇一天一个百万装修计划，该怎么防止狗子拆家呢	防止哈士奇拆家
生活宠物[SEP]山东省潍坊市[SEP]你养过宠物吗？[SEP]不检索[SEP]哇塞，那你可是专家，我有事情想请教你[SEP]不检索[SEP]我养的哈士奇一天一个百万装修计划，该怎么防止狗子拆家呢[SEP]防止哈士奇拆家[SEP]关在笼子里，出来了还是拆家，多遛狗消耗体力倒是可以试一试	不检索
生活宠物[SEP]山东省潍坊市[SEP]你养过宠物吗？[SEP]不检索[SEP]哇塞，那你可是专家，我有事情想请教你[SEP]不检索[SEP]我养的哈士奇一天一个百万装修计划，该怎么防止狗子拆家呢[SEP]防止哈士奇拆家[SEP]关在笼子里，出来了还是拆家，多遛狗消耗体力倒是可以试一试[SEP]不检索[SEP]两岁了，精力正旺呢	不检索
学习工作职业老师[SEP]辽宁省大连市[SEP]说到小时候的理想，我可是想成为一名老师呢	不检索
学习工作职业老师[SEP]辽宁省大连市[SEP]说到小时候的理想，我可是想成为一名老师呢[SEP]不检索[SEP]语文的，比较喜欢语文	不检索
学习工作职业老师[SEP]辽宁省大连市[SEP]说到小时候的理想，我可是想成为一名老师呢[SEP]不检索[SEP]语文的，比较喜欢语文[SEP]不检索[SEP]你知道这个怎么考吗	教师资格证考试流程
学习工作职业老师[SEP]辽宁省大连市[SEP]说到小时候的理想，我可是想成为一名老师呢[SEP]不检索[SEP]语文的，比较喜欢语文[SEP]不检索[SEP]你知道这个怎么考吗[SEP]教师资格证考试流程[SEP]啊，那要是能通过总体要多长时间呀	教师资格证考试的时间
学习工作职业老师[SEP]辽宁省大连市[SEP]说到小时候的理想，我可是想成为一名老师呢[SEP]不检索[SEP]语文的，比较喜欢语文[SEP]不检索[SEP]你知道这个怎么考吗[SEP]教师资格证考试流程[SEP]啊，那要是能通过总体要多长时间呀[SEP]教师资格证考试的时间[SEP]哦哦，那也快要考了，不知笔试难不难	教师资格证笔试科目
学习工作职业老师[SEP]辽宁省大连市[SEP]说到小时候的理想，我可是想成为一名老师呢[SEP]不检索[SEP]语文的，比较喜欢语文[SEP]不检索[SEP]你知道这个怎么考吗[SEP]教师资格证考试流程[SEP]啊，那要是能通过总体要多长时间呀[SEP]教师资格证考试的时间[SEP]哦哦，那也快要考了，不知笔试难不难[SEP]教师资格证笔试科目[SEP]天哪，感觉好多的样子	不检索
时尚穿搭[SEP]广东省中山市[SEP]你今天的穿搭好好看啊，头一回看你驾驭这么淑女的风格。	小香风穿搭
时尚穿搭[SEP]广东省中山市[SEP]你今天的穿搭好好看啊，头一回看你驾驭这么淑女的风格。[SEP]小香风穿搭[SEP]哈哈，小香风看起来就好女人，而且穿大牌看起来还特有钱，名媛的感觉。	不检索
时尚穿搭[SEP]广东省中山市[SEP]你今天的穿搭好好看啊，头一回看你驾驭这么淑女的风格。[SEP]小香风穿搭[SEP]哈哈，小香风看起来就好女人，而且穿大牌看起来还特有钱，名媛的感觉。[SEP]不检索[SEP]香奈儿的包确实感觉每个女孩都应该有一款。	香奈儿黑色链条包
时尚穿搭[SEP]广东省中山市[SEP]你今天的穿搭好好看啊，头一回看你驾驭这么淑女的风格。[SEP]小香风穿搭[SEP]哈哈，小香风看起来就好女人，而且穿大牌看起来还特有钱，名媛的感觉。[SEP]不检索[SEP]香奈儿的包确实感觉每个女孩都应该有一款。[SEP]香奈儿黑色链条包[SEP]那就都买，反正风格不一样，可以搭配不同的衣服。	不检索
时尚穿搭[SEP]广东省中山市[SEP]你今天的穿搭好好看啊，头一回看你驾驭这么淑女的风格。[SEP]小香风穿搭[SEP]哈哈，小香风看起来就好女人，而且穿大牌看起来还特有钱，名媛的感觉。[SEP]不检索[SEP]香奈儿的包确实感觉每个女孩都应该有一款。[SEP]香奈儿黑色链条包[SEP]那就都买，反正风格不一样，可以搭配不同的衣服。[SEP]不检索[SEP]反正都要买个奢侈品包包了，也不差这一点了，买你喜欢的那一款吧。	不检索
泛娱乐歌手邓紫棋[SEP]江西省南昌市[SEP]你知道邓紫棋嘛	邓紫棋
泛娱乐歌手邓紫棋[SEP]江西省南昌市[SEP]你知道邓紫棋嘛[SEP]邓紫棋[SEP]那你知道她本名叫什么嘛	邓紫棋本名
泛娱乐歌手邓紫棋[SEP]江西省南昌市[SEP]你知道邓紫棋嘛[SEP]邓紫棋[SEP]那你知道她本名叫什么嘛[SEP]邓紫棋本名[SEP]你听过她的歌吗	邓紫棋的歌
泛娱乐歌手邓紫棋[SEP]江西省南昌市[SEP]你知道邓紫棋嘛[SEP]邓紫棋[SEP]那你知道她本名叫什么嘛[SEP]邓紫棋本名[SEP]你听过她的歌吗[SEP]邓紫棋的歌[SEP]哦吼，遇到渔民了！那你知道她喜欢什么颜色吗	邓紫棋喜欢的颜色
泛娱乐歌手邓紫棋[SEP]江西省南昌市[SEP]你知道邓紫棋嘛[SEP]邓紫棋[SEP]那你知道她本名叫什么嘛[SEP]邓紫棋本名[SEP]你听过她的歌吗[SEP]邓紫棋的歌[SEP]哦吼，遇到渔民了！那你知道她喜欢什么颜色吗[SEP]邓紫棋喜欢的颜色[SEP]bingo，粉丝认证成功~	不检索
泛娱乐作家priest[SEP]青海省西宁市[SEP]最近刚看完了priest的一本书，真的很不错呢	不检索
泛娱乐作家priest[SEP]青海省西宁市[SEP]最近刚看完了priest的一本书，真的很不错呢[SEP]不检索[SEP]既然你这么问了，那你就猜一猜是什么书吧，这本书是刑侦的	不检索
泛娱乐作家priest[SEP]青海省西宁市[SEP]最近刚看完了priest的一本书，真的很不错呢[SEP]不检索[SEP]既然你这么问了，那你就猜一猜是什么书吧，这本书是刑侦的[SEP]不检索[SEP]猜对啦~这本书的每个案件真的很环环相扣呢	priest作家的书
泛娱乐作家priest[SEP]青海省西宁市[SEP]最近刚看完了priest的一本书，真的很不错呢[SEP]不检索[SEP]既然你这么问了，那你就猜一猜是什么书吧，这本书是刑侦的[SEP]不检索[SEP]猜对啦~这本书的每个案件真的很环环相扣呢[SEP]priest作家的书[SEP]真的吗，以后我也要看看，它主要讲的什么呀	镇魂
泛娱乐作家priest[SEP]青海省西宁市[SEP]最近刚看完了priest的一本书，真的很不错呢[SEP]不检索[SEP]既然你这么问了，那你就猜一猜是什么书吧，这本书是刑侦的[SEP]不检索[SEP]猜对啦~这本书的每个案件真的很环环相扣呢[SEP]priest作家的书[SEP]真的吗，以后我也要看看，它主要讲的什么呀[SEP]镇魂[SEP]听了你讲，我更期待这本书了，priest应该不会让我失望的	不检索
购物电子设备[SEP]陕西省延安市[SEP]我想入个平板了	平板电脑的品牌
购物电子设备[SEP]陕西省延安市[SEP]我想入个平板了[SEP]平板电脑的品牌[SEP]它们区别大么？还没有太了解	苹果的平板电脑和安卓的平板电脑
购物电子设备[SEP]陕西省延安市[SEP]我想入个平板了[SEP]平板电脑的品牌[SEP]它们区别大么？还没有太了解[SEP]苹果的平板电脑和安卓的平板电脑[SEP]ipad也有好多种啊	Ipad的种类
购物电子设备[SEP]陕西省延安市[SEP]我想入个平板了[SEP]平板电脑的品牌[SEP]它们区别大么？还没有太了解[SEP]苹果的平板电脑和安卓的平板电脑[SEP]ipad也有好多种啊[SEP]Ipad的种类[SEP]我就用来看剧的，也不用太高端。	不检索
购物电子设备[SEP]陕西省延安市[SEP]我想入个平板了[SEP]平板电脑的品牌[SEP]它们区别大么？还没有太了解[SEP]苹果的平板电脑和安卓的平板电脑[SEP]ipad也有好多种啊[SEP]Ipad的种类[SEP]我就用来看剧的，也不用太高端。[SEP]不检索[SEP]我要不要再配一根pencil啊？	不检索
健康养生[SEP]吉林省吉林市[SEP]最近养生的话题很火热呀。	养生
健康养生[SEP]吉林省吉林市[SEP]最近养生的话题很火热呀。[SEP]养生[SEP]《黄帝内经》？这是一本关于养生的书籍嘛？	黄帝内经简介
健康养生[SEP]吉林省吉林市[SEP]最近养生的话题很火热呀。[SEP]养生[SEP]《黄帝内经》？这是一本关于养生的书籍嘛？[SEP]黄帝内经简介[SEP]哇哦，原来是这样的一本书。现在是冬天，我们应该怎么进行养生呢？	冬天养生
健康养生[SEP]吉林省吉林市[SEP]最近养生的话题很火热呀。[SEP]养生[SEP]《黄帝内经》？这是一本关于养生的书籍嘛？[SEP]黄帝内经简介[SEP]哇哦，原来是这样的一本书。现在是冬天，我们应该怎么进行养生呢？[SEP]冬天养生[SEP]冬天要尽量少出汗嘛？我还想做一些运动呢。	冬天运动
健康养生[SEP]吉林省吉林市[SEP]最近养生的话题很火热呀。[SEP]养生[SEP]《黄帝内经》？这是一本关于养生的书籍嘛？[SEP]黄帝内经简介[SEP]哇哦，原来是这样的一本书。现在是冬天，我们应该怎么进行养生呢？[SEP]冬天养生[SEP]冬天要尽量少出汗嘛？我还想做一些运动呢。[SEP]冬天运动[SEP]看来冬天也可以做一些运动呢，真的是太好啦！	不检索
时尚品牌[SEP]辽宁省阜新市[SEP]给我讲讲香奈儿品牌的历史吧。	香奈儿品牌历史
时尚品牌[SEP]辽宁省阜新市[SEP]给我讲讲香奈儿品牌的历史吧。[SEP]香奈儿品牌历史[SEP]哦？他们还有珠宝？我一直以为他们只卖香水和衣服。	不检索
时尚品牌[SEP]辽宁省阜新市[SEP]给我讲讲香奈儿品牌的历史吧。[SEP]香奈儿品牌历史[SEP]哦？他们还有珠宝？我一直以为他们只卖香水和衣服。[SEP]不检索[SEP]那香奈儿是什么时候成立的呢？	不检索
时尚品牌[SEP]辽宁省阜新市[SEP]给我讲讲香奈儿品牌的历史吧。[SEP]香奈儿品牌历史[SEP]哦？他们还有珠宝？我一直以为他们只卖香水和衣服。[SEP]不检索[SEP]那香奈儿是什么时候成立的呢？[SEP]不检索[SEP]可可·香奈儿好厉害啊，那时要创建一个服装品牌可不容易。	可可·香奈儿
时尚品牌[SEP]辽宁省阜新市[SEP]给我讲讲香奈儿品牌的历史吧。[SEP]香奈儿品牌历史[SEP]哦？他们还有珠宝？我一直以为他们只卖香水和衣服。[SEP]不检索[SEP]那香奈儿是什么时候成立的呢？[SEP]不检索[SEP]可可·香奈儿好厉害啊，那时要创建一个服装品牌可不容易。[SEP]可可·香奈儿[SEP]香奈儿有自己的特色产品吗？	香奈儿的特色产品
泛娱乐歌手毛不易[SEP]四川省绵阳市[SEP]你最近看了《歌手·当打之年》吗？	歌手·当打之年
泛娱乐歌手毛不易[SEP]四川省绵阳市[SEP]你最近看了《歌手·当打之年》吗？[SEP]歌手·当打之年[SEP]是的呀，但是我是因为毛不易去看的哈哈哈。	毛不易
泛娱乐歌手毛不易[SEP]四川省绵阳市[SEP]你最近看了《歌手·当打之年》吗？[SEP]歌手·当打之年[SEP]是的呀，但是我是因为毛不易去看的哈哈哈。[SEP]毛不易[SEP]对，当时看这个综艺的时候，我就很喜欢他了，《像我这样的人》、《消愁》等等，都很好听的。	毛不易歌曲
泛娱乐歌手毛不易[SEP]四川省绵阳市[SEP]你最近看了《歌手·当打之年》吗？[SEP]歌手·当打之年[SEP]是的呀，但是我是因为毛不易去看的哈哈哈。[SEP]毛不易[SEP]对，当时看这个综艺的时候，我就很喜欢他了，《像我这样的人》、《消愁》等等，都很好听的。[SEP]毛不易歌曲[SEP]我要被洗脑了哈哈哈，毛不易yyds啊~	毛不易的性格
泛娱乐歌手毛不易[SEP]四川省绵阳市[SEP]你最近看了《歌手·当打之年》吗？[SEP]歌手·当打之年[SEP]是的呀，但是我是因为毛不易去看的哈哈哈。[SEP]毛不易[SEP]对，当时看这个综艺的时候，我就很喜欢他了，《像我这样的人》、《消愁》等等，都很好听的。[SEP]毛不易歌曲[SEP]我要被洗脑了哈哈哈，毛不易yyds啊~[SEP]毛不易的性格[SEP]对的，毛毛的性格我也是超级喜欢，希望可以继续保持。	不检索
泛娱乐歌手毛不易[SEP]四川省绵阳市[SEP]你最近看了《歌手·当打之年》吗？[SEP]歌手·当打之年[SEP]是的呀，但是我是因为毛不易去看的哈哈哈。[SEP]毛不易[SEP]对，当时看这个综艺的时候，我就很喜欢他了，《像我这样的人》、《消愁》等等，都很好听的。[SEP]毛不易歌曲[SEP]我要被洗脑了哈哈哈，毛不易yyds啊~[SEP]毛不易的性格[SEP]对的，毛毛的性格我也是超级喜欢，希望可以继续保持。[SEP]不检索[SEP]到时候毛毛除新专辑了，我推荐给你听，继续安利这个歌手！	不检索
泛娱乐音乐周杰伦[SEP]广东省湛江市[SEP]我最近又听了好多周杰伦的歌	不检索
泛娱乐音乐周杰伦[SEP]广东省湛江市[SEP]我最近又听了好多周杰伦的歌[SEP]不检索[SEP]很多歌现在听都很有感觉	周杰伦的代表作
泛娱乐音乐周杰伦[SEP]广东省湛江市[SEP]我最近又听了好多周杰伦的歌[SEP]不检索[SEP]很多歌现在听都很有感觉[SEP]周杰伦的代表作[SEP]虽然他咬字不清楚哈哈哈	周杰伦唱歌特点
泛娱乐音乐周杰伦[SEP]广东省湛江市[SEP]我最近又听了好多周杰伦的歌[SEP]不检索[SEP]很多歌现在听都很有感觉[SEP]周杰伦的代表作[SEP]虽然他咬字不清楚哈哈哈[SEP]周杰伦唱歌特点[SEP]周杰伦的电影也很不错	周杰伦的电影
泛娱乐音乐周杰伦[SEP]广东省湛江市[SEP]我最近又听了好多周杰伦的歌[SEP]不检索[SEP]很多歌现在听都很有感觉[SEP]周杰伦的代表作[SEP]虽然他咬字不清楚哈哈哈[SEP]周杰伦唱歌特点[SEP]周杰伦的电影也很不错[SEP]周杰伦的电影[SEP]对呀对呀，《头文字D》真的好看！我看了好几遍呢	《头文字D》主演
生活宠物[SEP]天津市天津城区[SEP]养一只小猫咪真是又幸福又烦恼	不检索
生活宠物[SEP]天津市天津城区[SEP]养一只小猫咪真是又幸福又烦恼[SEP]不检索[SEP]我家小猫晚上老是喜欢钻进我被窝，睡觉又打鼾	猫咪睡觉打鼾
生活宠物[SEP]天津市天津城区[SEP]养一只小猫咪真是又幸福又烦恼[SEP]不检索[SEP]我家小猫晚上老是喜欢钻进我被窝，睡觉又打鼾[SEP]猫咪睡觉打鼾[SEP]我是有点担心，听你这么说放心多了	不检索
生活宠物[SEP]天津市天津城区[SEP]养一只小猫咪真是又幸福又烦恼[SEP]不检索[SEP]我家小猫晚上老是喜欢钻进我被窝，睡觉又打鼾[SEP]猫咪睡觉打鼾[SEP]我是有点担心，听你这么说放心多了[SEP]不检索[SEP]它很懒，有时候不愿意动，不和我玩	不检索
生活宠物[SEP]天津市天津城区[SEP]养一只小猫咪真是又幸福又烦恼[SEP]不检索[SEP]我家小猫晚上老是喜欢钻进我被窝，睡觉又打鼾[SEP]猫咪睡觉打鼾[SEP]我是有点担心，听你这么说放心多了[SEP]不检索[SEP]它很懒，有时候不愿意动，不和我玩[SEP]不检索[SEP]猫爬架安全吗？我一直想入手一个	猫爬架安全吗
购物水果桂圆[SEP]福建省龙岩市[SEP]你看这桂圆好大，好甜啊，快尝尝~	咳嗽
